资产账号,交易日（天）,日均权益（自然日）,日均权益(交易日),期末权益汇总
7213229,199,0,0,0
6080606,199,1001.68,1001.68,199334.32
8762186,199,1.02,1.02,202.98
8775059,199,0,0,0
8738866,199,0,0,0
8703518,199,9.98,9.98,1986.02
8728071,199,10,10,1990
8800649,199,0,0,0
8721885,199,1.83,1.83,364.17
8703957,199,87994.59864,87994.59864,17510925.13
7588168,199,6843.06,6843.06,1361768.94
8710508,199,773.7721608,773.7721608,153980.66
8772521,199,1.91,1.91,380.09
8710522,199,1.64,1.64,326.36
8725158,199,0,0,0
7719307,199,1,1,199
8765625,199,1.82,1.82,362.18
8731781,199,51867.99915,51867.99915,10321731.83
7666023,199,1,1,199
8750388,199,0,0,0
8731995,199,2,2,398
8717288,199,0,0,0
7805301,199,529075.6046,529075.6046,105286045.3
8770661,199,20689.99271,20689.99271,4117308.55
8738505,199,2.59,2.59,515.41
8756562,199,38864.21111,38864.21111,7733978.01
7832138,199,0,0,0
8610330,199,4320.636382,4320.636382,859806.64
8703927,199,5242.230854,5242.230854,1043203.94
8515263,199,65371.5807,65371.5807,13008944.56
8101261,199,4802.802312,4802.802312,955757.66
8776213,199,10700.03749,10700.03749,2129307.46
8721089,199,25201.93824,25201.93824,5015185.71
8765866,199,2290.340151,2290.340151,455777.69
8101699,8,143.3794472,3566.56375,28532.51
8712520,199,8407.399246,8407.399246,1673072.45
8762606,199,6982.544171,6982.544171,1389526.29
6080122,199,19837.50513,19837.50513,3947663.52
8771173,199,47684.95055,47684.95055,9489305.16
8776978,199,4034.718744,4034.718744,802909.03
8702676,199,5928.324774,5928.324774,1179736.63
7970001,199,14304.99859,14304.99859,2846694.72
8776216,199,165622.753,165622.753,32958927.85
8722092,199,10968.50839,10968.50839,2182733.17
8722269,199,2079.312312,2079.312312,413783.15
8730320,199,8480.405628,8480.405628,1687600.72
8729566,199,74878.42628,74878.42628,14900806.83
8757091,199,154561.4397,154561.4397,30757726.51
8731267,199,79742.80975,79742.80975,15868819.14
8706381,199,50394.16085,50394.16085,10028438.01
8768666,199,1481099.771,1481099.771,294738854.4
8767381,199,20623.73055,20623.73055,4104122.38
8762577,199,46408.3003,46408.3003,9235251.76
8100556,199,3616.47804,3616.47804,719679.13
8706532,199,1334.016884,1334.016884,265469.36
8775790,199,27818.95628,27818.95628,5535972.3
8762719,199,13686.91106,13686.91106,2723695.3
8762171,199,34986.67417,34986.67417,6962348.16
8768288,199,12806.73508,12806.73508,2548540.28
7118256,199,70755.44663,70755.44663,14080333.88
8761610,199,7451490.272,7451490.272,1482846564
8101632,199,22672.45106,22672.45106,4511817.76
8582050,199,30835.11477,30835.11477,6136187.84
8732765,199,10118.42186,10118.42186,2013565.95
8776931,199,3084.333719,3084.333719,613782.41
8710018,199,66402.76141,66402.76141,13214149.52
8719111,199,29637.25553,29637.25553,5897813.85
6007613,199,79929.28216,79929.28216,15905927.15
8755872,199,5587.398543,5587.398543,1111892.31
8728796,199,15288.97985,15288.97985,3042506.99
8750905,199,29508.26191,29508.26191,5872144.12
8721326,199,10026.2205,10026.2205,1995217.88
8757389,199,155818.2575,155818.2575,31007833.25
8777709,199,4419.164472,4419.164472,879413.73
7719082,199,1747.764422,1747.764422,347805.12
8728879,199,1226866.42,1226866.42,244146417.6
7993003,199,56337.64286,56337.64286,11211190.93
8751996,199,17814.7395,17814.7395,3545133.16
8759191,199,15022.73955,15022.73955,2989525.17
8756259,199,70855.60477,70855.60477,14100265.35
8831969,199,691013.4957,691013.4957,137511685.7
8770237,199,20792.04246,20792.04246,4137616.45
8727936,199,40099.39538,40099.39538,7979779.68
6000703,199,101983.3727,101983.3727,20294691.17
8101669,199,837.5639196,837.5639196,166675.22
7000079,199,26942.73281,26942.73281,5361603.83
7198195,199,1,1,199
8585587,199,8.05,8.05,1601.95
7252005,199,0,0,0
8727381,199,23619.28487,23619.28487,4700237.69
6001307,199,162.12,162.12,32261.88
7555069,199,1.49,1.49,296.51
8721369,199,0,0,0
8728007,199,0,0,0
8719190,199,1712.12,1712.12,340711.88
8768710,199,45576.78613,45576.78613,9069780.44
8758856,199,5716.89,5716.89,1137661.11
8773711,199,3666.643166,3666.643166,729661.99
8758223,199,42.52,42.52,8461.48
8767691,199,2108.67,2108.67,419625.33
8725556,199,1.87,1.87,372.13
7118032,199,5.18,5.18,1030.82
8720826,199,1,1,199
8759615,199,0,0,0
8711375,199,6.55,6.55,1303.45
8765357,199,1.84,1.84,366.16
8717133,199,1.04,1.04,206.96
8801775,199,0,0,0
8729630,199,1,1,199
8760371,199,1.22,1.22,242.78
8100818,199,1,1,199
8727877,199,1,1,199
8712555,199,4034.427588,4034.427588,802851.09
8703998,199,1,1,199
8736123,199,1,1,199
8680113,199,34.29,34.29,6823.71
8728658,199,1,1,199
8720585,199,1,1,199
8760812,199,2909.514472,2909.514472,578993.38
8768058,199,8561.716734,8561.716734,1703781.63
8766502,199,0,0,0
8712866,199,15069.04,15069.04,2998738.96
8727187,199,3017.65,3017.65,600512.35
7603006,199,20.92,20.92,4163.08
7698109,199,1.56,1.56,310.44
8735955,199,1,1,199
8701933,199,1,1,199
8101025,199,2.62,2.62,521.38
8735873,199,1.74,1.74,346.26
8702008,199,1,1,199
7118112,199,15.30025126,15.30025126,3044.75
6002206,199,1.09,1.09,216.91
8731983,199,308.65,308.65,61421.35
8726397,199,2000.09,2000.09,398017.91
7619001,199,0.57,0.57,113.43
8757767,199,331.8620603,331.8620603,66040.55
8739277,199,0,0,0
8703969,199,1.23,1.23,244.77
7070011,199,1,1,199
7989071,199,1,1,199
8753710,199,36.28,36.28,7219.72
8760329,199,1,1,199
8776305,199,2.17,2.17,431.83
8756087,199,20,20,3980
8713028,199,33866.48241,33866.48241,6739430
8701180,199,155.69,155.69,30982.31
7125228,199,827.32,827.32,164636.68
8711805,199,2.54,2.54,505.46
8727809,199,1.86,1.86,370.14
8776736,199,1203.106734,1203.106734,239418.24
7923050,199,1.47,1.47,292.53
8720197,199,61.28,61.28,12194.72
6666925,199,1.1,1.1,218.9
7509020,199,0,0,0
8728017,199,1.39,1.39,276.61
8720730,199,0,0,0
8100788,199,7.19,7.19,1430.81
8101179,199,0,0,0
8570001,199,0,0,0
8725519,199,1,1,199
8768111,199,0,0,0
8730360,199,275.8579397,275.8579397,54895.73
8730131,199,1.3,1.3,258.7
8725830,199,1.37,1.37,272.63
8712852,199,14942.69784,14942.69784,2973596.87
8710261,199,1.2,1.2,238.8
8722681,199,1,1,199
8101581,199,1.04,1.04,206.96
8713986,199,149.93,149.93,29836.07
7118087,199,1.39,1.39,276.61
7070875,199,100,100,19900
8753936,199,0.99,0.99,197.01
8701903,199,55396.0298,55396.0298,11023809.93
8772602,199,28.59899497,28.59899497,5691.2
7118603,199,12265.88176,12265.88176,2440910.47
8752273,199,2.82,2.82,561.18
8731226,199,244428.3285,244428.3285,48641237.38
8750138,199,1.02,1.02,202.98
7176062,199,93855.78101,93855.78101,18677300.42
7917001,199,0,0,0
8703093,199,0,0,0
8710802,199,366.6985427,366.6985427,72973.01
8719358,199,1127.084472,1127.084472,224289.81
7003069,199,0,0,0
8738996,199,0,0,0
8720809,199,4.51,4.51,897.49
7628036,199,3.22,3.22,640.78
8610271,199,188.58,188.58,37527.42
8775833,199,0,0,0
8719308,199,22.78,22.78,4533.22
8703983,199,0,0,0
6018808,199,1.51,1.51,300.49
8832030,199,1,1,199
8610444,199,0,0,0
8720869,199,3591.794271,3591.794271,714767.06
7862008,199,1.55,1.55,308.45
8831723,199,36618.8698,36618.8698,7287155.09
8739927,199,1.2,1.2,238.8
8759675,199,0,0,0
8715866,199,10,10,1990
8763526,199,78041.3699,78041.3699,15530232.61
8711559,199,1,1,199
8773583,199,0,0,0
8705632,199,0,0,0
8713818,199,0,0,0
8757670,199,0,0,0
8772579,199,17.71,17.71,3524.29
8703899,199,21.93,21.93,4364.07
8713978,199,38723.53648,38723.53648,7705983.76
8736839,199,27152.55166,27152.55166,5403357.78
8580082,199,0,0,0
8772912,199,252.02,252.02,50151.98
8773927,199,0,0,0
7263085,199,6.82,6.82,1357.18
8727756,199,0,0,0
8766259,199,1.37,1.37,272.63
8756867,199,1,1,199
8101572,199,0,0,0
8776158,199,1.48,1.48,294.52
8757713,199,75.84,75.84,15092.16
6080630,199,117707.0614,117707.0614,23423705.21
8705008,199,2903.599246,2903.599246,577816.25
8738831,199,8.85,8.85,1761.15
8713797,199,32771.13005,32771.13005,6521454.88
8712759,199,3553.253116,3553.253116,707097.37
7336058,199,0,0,0
8735511,199,80968.4993,80968.4993,16112731.36
8706198,199,24116.09065,24116.09065,4799102.04
8725197,199,12997.48714,12997.48714,2586499.94
8736529,199,1,1,199
7811020,199,1.06,1.06,210.94
7125191,199,4075.46,4075.46,811016.54
6022706,199,1,1,199
8777103,199,310.9752261,310.9752261,61884.07
8731591,199,1911.783719,1911.783719,380444.96
8739909,199,22668.00638,22668.00638,4510933.27
8775662,199,927.43,927.43,184558.57
8765723,199,10204.98256,10204.98256,2030791.53
8767236,199,0,0,0
7213183,199,0,0,0
8706882,199,315.0703518,315.0703518,62699
8733868,199,0,0,0
8729189,199,16138.71156,16138.71156,3211603.6
8832007,199,1.18,1.18,234.82
8716991,199,436.22,436.22,86807.78
6060122,199,1233.71,1233.71,245508.29
8753033,199,1,1,199
8801056,199,29699.04296,29699.04296,5910109.55
8716612,199,0,0,0
8777877,199,0,0,0
8765663,199,342.05,342.05,68067.95
8767879,199,31195.08181,31195.08181,6207821.28
7199018,199,1,1,199
8721958,199,0,0,0
8738888,199,1.1,1.1,218.9
8761210,199,0,0,0
8710115,199,1,1,199
8776795,199,60277.62839,60277.62839,11995248.05
8737036,199,11,11,2189
8739359,199,0,0,0
8753618,5,0.010050251,0.4,2
8759780,199,1,1,199
7125226,199,55567.6906,55567.6906,11057970.43
7227002,199,30738.90754,30738.90754,6117042.6
7196015,199,0,0,0
8767557,199,643.6749246,643.6749246,128091.31
8762201,199,0,0,0
8739086,199,1,1,199
8712809,199,0,0,0
8737961,199,1.62,1.62,322.38
8772637,199,0,0,0
8773819,199,1.79,1.79,356.21
6015002,199,1,1,199
8760952,199,6807.852312,6807.852312,1354762.61
8752159,199,1,1,199
8753620,199,15231.08754,15231.08754,3030986.42
7577098,199,1.14,1.14,226.86
8510119,199,0,0,0
8713590,199,1.01,1.01,200.99
8733325,199,1.07,1.07,212.93
7637002,199,1,1,199
8711139,199,1,1,199
7805551,199,50598.23704,50598.23704,10069049.17
8723322,199,0,0,0
8101093,199,0,0,0
8726860,199,0,0,0
8727632,199,1,1,199
8777607,199,0,0,0
8610532,199,0,0,0
8831952,199,1,1,199
8801662,93,0,0,0
8720929,199,22.4,22.4,4457.6
8762631,199,1.53,1.53,304.47
7700263,199,0,0,0
8735262,199,1,1,199
8761882,199,0,0,0
8711591,199,257997.4013,257997.4013,51341482.85
7700167,199,119534.7894,119534.7894,23787423.09
8831889,199,4483.224724,4483.224724,892161.72
8772580,199,14539.31141,14539.31141,2893322.97
8519218,199,81838.57839,81838.57839,16285877.1
8759398,199,133472.8512,133472.8512,26561097.38
8758107,199,79618.08317,79618.08317,15843998.55
8750216,199,15876.01824,15876.01824,3159327.63
8723655,199,4023.198894,4023.198894,800616.58
8766710,199,166787.778,166787.778,33190767.82
8703375,199,25551.64628,25551.64628,5084777.61
8718787,199,191644.8797,191644.8797,38137331.06
8713766,199,31693.10729,31693.10729,6306928.35
6060108,199,7311.162563,7311.162563,1454921.35
8703955,199,633740.3748,633740.3748,126114334.6
8750052,199,333118.6421,333118.6421,66290609.77
8582318,199,67419.99643,67419.99643,13416579.29
8736912,199,303370.1733,303370.1733,60370664.48
8706709,199,37712.58312,37712.58312,7504804.04
8750850,199,1624.043618,1624.043618,323184.68
7103003,199,1260067.356,1260067.356,250753403.8
8702887,199,238691.2457,238691.2457,47499557.89
8100559,199,2521.952965,2521.952965,501868.64
8763853,199,19314.0792,19314.0792,3843501.76
8717263,199,471777.2666,471777.2666,93883676.06
8723098,199,3257.864523,3257.864523,648315.04
8765582,199,14137.36573,14137.36573,2813335.78
8703076,199,16257.3602,16257.3602,3235214.68
8763022,199,3434.508945,3434.508945,683467.28
8762127,199,229955.1045,229955.1045,45761065.8
7805730,199,96100.52246,96100.52246,19124003.97
8720395,199,1351.237487,1351.237487,268896.26
8722820,199,305902.2157,305902.2157,60874540.92
8731133,199,3404.825879,3404.825879,677560.35
8713551,199,22669.26548,22669.26548,4511183.83
8713887,199,67725.23121,67725.23121,13477321.01
8775013,199,12354.68372,12354.68372,2458582.06
8765010,199,206247.3508,206247.3508,41043222.81
7188008,199,111291.4904,111291.4904,22147006.58
8101131,199,3668106.462,3668106.462,729953185.9
8701793,199,108840.1027,108840.1027,21659180.43
8773831,199,102233.3243,102233.3243,20344431.53
8769081,199,234175.3762,234175.3762,46600899.86
8730528,199,4786.368844,4786.368844,952487.4
8759385,199,74714.46663,74714.46663,14868178.86
8705212,199,4516.46794,4516.46794,898777.12
8739887,199,1,1,199
8763085,199,27715.88422,27715.88422,5515460.96
8758685,199,92.44,92.44,18395.56
7201001,199,1.02,1.02,202.98
7070908,199,1.52,1.52,302.48
6002221,199,1.17,1.17,232.83
8767372,199,0,0,0
6021513,199,1.01,1.01,200.99
8518341,199,44045.57693,44045.57693,8765069.81
6001316,199,40265.2107,40265.2107,8012776.93
7271002,199,0.34,0.34,67.66
8736078,199,51767.07101,51767.07101,10301647.13
8515105,199,11016.80075,11016.80075,2192343.35
8701225,199,7799.553668,7799.553668,1552111.18
8772156,199,1279.344573,1279.344573,254589.57
8800815,199,0,0,0
8776807,199,29.9,29.9,5950.1
7212013,199,0,0,0
8739090,199,2,2,398
8776639,199,7783.091608,7783.091608,1548835.23
8763923,199,0,0,0
8772982,199,21300.44482,21300.44482,4238788.52
7628033,199,38436.19236,38436.19236,7648802.28
8713789,199,1,1,199
8729395,199,4.64,4.64,923.36
8719671,199,6494.42809,6494.42809,1292391.19
8768919,199,672.5107538,672.5107538,133829.64
8723382,199,3153.59,3153.59,627564.41
8719096,199,21200.74171,21200.74171,4218947.6
8756125,199,661358.6339,661358.6339,131610368.1
8776809,199,30615.7009,30615.7009,6092524.48
8751833,199,44317.47829,44317.47829,8819178.18
8777328,199,2872.036231,2872.036231,571535.21
8716336,199,0,0,0
8723919,199,50809.80764,50809.80764,10111151.72
8711955,199,961.7819598,961.7819598,191394.61
8757780,199,56.7719598,56.7719598,11297.62
7261020,199,2,2,398
8755395,199,2.72,2.72,541.28
8769995,199,0,0,0
8766619,199,522.35,522.35,103947.65
8706109,199,41738.15101,41738.15101,8305892.05
8733883,199,1,1,199
8730129,199,0,0,0
8830787,199,2604.175528,2604.175528,518230.93
8719053,199,1,1,199
8739655,199,0,0,0
8736752,199,5159.577236,5159.577236,1026755.87
8722763,199,935.37,935.37,186138.63
8713873,199,29689.53131,29689.53131,5908216.73
8759200,199,28.28,28.28,5627.72
8581189,199,0,0,0
8755078,199,4.36,4.36,867.64
8101358,199,1.3,1.3,258.7
8733962,199,6065.147739,6065.147739,1206964.4
8758622,199,2.99,2.99,595.01
7719232,199,0.93,0.93,185.07
8727776,199,85.45,85.45,17004.55
7353003,199,0,0,0
8739152,199,1.2,1.2,238.8
8766133,199,1,1,199
6005629,199,0,0,0
8831686,199,150.84,150.84,30017.16
8738926,199,50653.7203,50653.7203,10080090.34
8580120,199,235.27,235.27,46818.73
8729228,199,1,1,199
8753985,199,0,0,0
8771363,199,75747.26834,75747.26834,15073706.4
8725307,199,7.650150754,7.650150754,1522.38
8760000,199,1.6,1.6,318.4
8738832,199,2620.274372,2620.274372,521434.6
8761922,199,6813.74,6813.74,1355934.26
8700195,199,47949.5306,47949.5306,9541956.59
8706135,199,1,1,199
8763875,199,0,0,0
8759092,199,0,0,0
7123010,199,0,0,0
8752113,199,45.98,45.98,9150.02
8736616,199,13.47,13.47,2680.53
8753297,199,3763.197035,3763.197035,748876.21
8100267,199,1.8,1.8,358.2
8831236,199,8182.180854,8182.180854,1628253.99
8755760,199,0,0,0
8716731,199,2371.134171,2371.134171,471855.7
8100356,199,1,1,199
8730966,199,0,0,0
8731596,199,10401.00513,10401.00513,2069800.02
8769583,199,0,0,0
8735020,199,1117.539095,1117.539095,222390.28
8737376,199,100,100,19900
8703287,199,247.83,247.83,49318.17
8759697,199,617.57,617.57,122896.43
8767093,199,1573.82,1573.82,313190.18
8770977,199,1.76,1.76,350.24
7070085,199,3.95,3.95,786.05
8761633,199,220.4937688,220.4937688,43878.26
8773526,199,0,0,0
8800971,199,533.82,533.82,106230.18
7118106,199,4159.658844,4159.658844,827772.11
8831269,199,2,2,398
3010003,199,0,0,0
8722897,199,0,0,0
7832160,199,8.03,8.03,1597.97
8765273,199,8.43,8.43,1677.57
6080507,199,1.41,1.41,280.59
8726501,199,1.59,1.59,316.41
8723058,199,25.1758794,25.1758794,5010
